fault_id,timestamp,day_of_week,hour_of_day,shift_at_fault,base_location,fault_latitude,fault_longitude,error_code,response_time_minutes
10001.0,2015-01-01 15:35:00,Thursday,15.0,Shift_2,Station_1,19.449274,-99.149257,S-101 (Signaling),44.0
10002.0,2015-01-01 14:56:00,Thursday,14.0,Shift_2,Station_19,19.359357,-99.08684,M-205 (Mechanical),43.0
10003.0,2015-01-01 06:20:00,Thursday,6.0,Shift_1,Station_12,19.395707,-99.111833,E-401 (Electrical),34.0
10004.0,2015-01-01 14:33:00,Thursday,14.0,Shift_2,Station_11,19.400976,-99.114837,E-401 (Electrical),29.0
10005.0,2015-01-01 20:52:00,Thursday,20.0,Shift_3,Station_1,19.449045,-99.149323,S-101 (Signaling),37.0
10006.0,2015-01-02 14:32:00,Friday,14.0,Shift_2,Station_6,19.424497,-99.13171,M-205 (Mechanical),40.0
10007.0,2015-01-02 18:39:00,Friday,18.0,Shift_3,Station_10,19.404732,-99.119164,E-401 (Electrical),35.0
10008.0,2015-01-02 21:53:00,Friday,21.0,Shift_3,Station_14,19.384843,-99.104603,E-401 (Electrical),30.0
10009.0,2015-01-03 09:57:00,Saturday,9.0,Shift_1,Station_18,19.364744,-99.090137,E-401 (Electrical),38.0
10010.0,2015-01-03 08:41:00,Saturday,8.0,Shift_1,Station_1,19.449467,-99.15076,H-300 (Hydraulic),34.0
10011.0,2015-01-03 14:25:00,Saturday,14.0,Shift_2,Station_19,19.360231,-99.0865,H-300 (Hydraulic),44.0
10012.0,2015-01-03 22:57:00,Saturday,22.0,Shift_3,Station_19,19.359679,-99.087428,E-401 (Electrical),44.0
10013.0,2015-01-03 10:03:00,Saturday,10.0,Shift_1,Station_8,19.414954,-99.126372,S-101 (Signaling),33.0
10014.0,2015-01-03 06:42:00,Saturday,6.0,Shift_1,Station_9,19.409784,-99.122753,S-101 (Signaling),29.0
10015.0,2015-01-04 12:05:00,Sunday,12.0,Shift_2,Station_10,19.405958,-99.118872,M-205 (Mechanical),29.0
10016.0,2015-01-04 17:43:00,Sunday,17.0,Shift_2,Station_2,19.445374,-99.146394,E-401 (Electrical),42.0
10017.0,2015-01-04 20:32:00,Sunday,20.0,Shift_3,Station_11,19.400135,-99.115747,E-401 (Electrical),29.0
10018.0,2015-01-04 22:05:00,Sunday,22.0,Shift_3,Station_14,19.385799,-99.104973,M-205 (Mechanical),36.0
10019.0,2015-01-04 09:40:00,Sunday,9.0,Shift_1,Station_6,19.425912,-99.133086,M-205 (Mechanical),28.0
,2015-01-05 00:00:00,Monday,,NO_INCIDENT,No Incident Day,,,NO_INCIDENT,
10020.0,2015-01-06 16:16:00,Tuesday,16.0,Shift_2,Station_17,19.370871,-99.094268,M-205 (Mechanical),37.0
10021.0,2015-01-06 23:47:00,Tuesday,23.0,Shift_3,Station_4,19.434736,-99.139595,E-401 (Electrical),31.0
10022.0,2015-01-06 22:58:00,Tuesday,22.0,Shift_3,Station_15,19.379105,-99.100554,E-401 (Electrical),30.0
10023.0,2015-01-06 14:42:00,Tuesday,14.0,Shift_2,Station_6,19.425872,-99.132265,E-401 (Electrical),41.0
10024.0,2015-01-06 18:31:00,Tuesday,18.0,Shift_3,Station_13,19.389982,-99.107322,H-300 (Hydraulic),43.0
10025.0,2015-01-07 22:35:00,Wednesday,22.0,Shift_3,Station_15,19.379797,-99.100764,S-101 (Signaling),30.0
10026.0,2015-01-08 19:34:00,Thursday,19.0,Shift_3,Station_12,19.394864,-99.111054,H-300 (Hydraulic),27.0
10027.0,2015-01-08 13:16:00,Thursday,13.0,Shift_2,Station_9,19.410921,-99.12142,M-205 (Mechanical),37.0
10028.0,2015-01-08 22:45:00,Thursday,22.0,Shift_3,Station_17,19.369585,-99.093299,M-205 (Mechanical),30.0
10029.0,2015-01-08 17:02:00,Thursday,17.0,Shift_2,Station_2,19.444789,-99.147383,M-205 (Mechanical),43.0
10030.0,2015-01-08 23:05:00,Thursday,23.0,Shift_3,Station_5,19.429745,-99.136498,M-205 (Mechanical),28.0
10031.0,2015-01-08 09:54:00,Thursday,9.0,Shift_1,Station_15,19.379824,-99.100785,H-300 (Hydraulic),25.0
10032.0,2015-01-08 14:43:00,Thursday,14.0,Shift_2,Station_21,19.350158,-99.080663,S-101 (Signaling),45.0
10033.0,2015-01-08 19:11:00,Thursday,19.0,Shift_3,Station_6,19.424549,-99.132942,S-101 (Signaling),38.0
10034.0,2015-01-09 21:05:00,Friday,21.0,Shift_3,Station_13,19.390688,-99.107757,M-205 (Mechanical),27.0
10035.0,2015-01-09 20:20:00,Friday,20.0,Shift_3,Station_16,19.375164,-99.096595,E-401 (Electrical),28.0
10036.0,2015-01-09 09:09:00,Friday,9.0,Shift_1,Station_9,19.409548,-99.122015,M-205 (Mechanical),41.0
10037.0,2015-01-09 18:10:00,Friday,18.0,Shift_3,Station_6,19.425025,-99.132655,M-205 (Mechanical),33.0
10038.0,2015-01-09 15:48:00,Friday,15.0,Shift_2,Station_14,19.384605,-99.10496,E-401 (Electrical),26.0
10039.0,2015-01-10 19:14:00,Saturday,19.0,Shift_3,Station_18,19.364078,-99.091208,M-205 (Mechanical),26.0
10040.0,2015-01-10 09:19:00,Saturday,9.0,Shift_1,Station_14,19.384227,-99.104412,E-401 (Electrical),39.0
