fault_id,timestamp,day_of_week,hour_of_day,shift_at_fault,base_location,fault_latitude,fault_longitude,error_code,response_time_minutes
10001.0,2015-01-01 11:58:00,Thursday,11.0,Shift_1,Station_4,19.434183,-99.140218,E-401 (Electrical),43.0
10002.0,2015-01-01 17:15:00,Thursday,17.0,Shift_2,Station_16,19.374241,-99.097033,E-401 (Electrical),30.0
10003.0,2015-01-01 11:32:00,Thursday,11.0,Shift_1,Station_7,19.419837,-99.129403,E-401 (Electrical),35.0
10004.0,2015-01-01 14:16:00,Thursday,14.0,Shift_2,Station_13,19.390543,-99.108409,S-101 (Signaling),30.0
10005.0,2015-01-01 12:02:00,Thursday,12.0,Shift_2,Station_4,19.434699,-99.138691,S-101 (Signaling),38.0
10006.0,2015-01-01 16:39:00,Thursday,16.0,Shift_2,Station_20,19.355029,-99.083508,M-205 (Mechanical),44.0
10007.0,2015-01-01 19:21:00,Thursday,19.0,Shift_3,Station_14,19.384013,-99.105404,M-205 (Mechanical),28.0
10008.0,2015-01-02 20:17:00,Friday,20.0,Shift_3,Station_7,19.419954,-99.129847,E-401 (Electrical),29.0
10009.0,2015-01-02 11:04:00,Friday,11.0,Shift_1,Station_9,19.409661,-99.121612,E-401 (Electrical),27.0
10010.0,2015-01-02 14:26:00,Friday,14.0,Shift_2,Station_11,19.399724,-99.114513,M-205 (Mechanical),32.0
10011.0,2015-01-02 15:30:00,Friday,15.0,Shift_2,Station_14,19.385727,-99.104225,E-401 (Electrical),34.0
10012.0,2015-01-03 10:18:00,Saturday,10.0,Shift_1,Station_1,19.450875,-99.15044,E-401 (Electrical),42.0
10013.0,2015-01-03 21:25:00,Saturday,21.0,Shift_3,Station_5,19.429636,-99.1351,E-401 (Electrical),35.0
10014.0,2015-01-03 13:22:00,Saturday,13.0,Shift_2,Station_10,19.404124,-99.118597,E-401 (Electrical),29.0
10015.0,2015-01-03 06:18:00,Saturday,6.0,Shift_1,Station_2,19.44568,-99.14664,E-401 (Electrical),38.0
10016.0,2015-01-03 17:27:00,Saturday,17.0,Shift_2,Station_15,19.380981,-99.100035,M-205 (Mechanical),34.0
10017.0,2015-01-03 22:03:00,Saturday,22.0,Shift_3,Station_4,19.434287,-99.138804,H-300 (Hydraulic),26.0
10018.0,2015-01-04 22:34:00,Sunday,22.0,Shift_3,Station_17,19.370012,-99.094425,S-101 (Signaling),41.0
10019.0,2015-01-04 10:38:00,Sunday,10.0,Shift_1,Station_12,19.394955,-99.112116,E-401 (Electrical),41.0
10020.0,2015-01-04 15:48:00,Sunday,15.0,Shift_2,Station_4,19.435886,-99.140444,M-205 (Mechanical),44.0
10021.0,2015-01-04 20:03:00,Sunday,20.0,Shift_3,Station_1,19.450743,-99.14931,H-300 (Hydraulic),31.0
10022.0,2015-01-04 08:43:00,Sunday,8.0,Shift_1,Station_2,19.44541,-99.147054,S-101 (Signaling),31.0
10023.0,2015-01-04 23:52:00,Sunday,23.0,Shift_3,Station_11,19.400429,-99.115588,S-101 (Signaling),38.0
10024.0,2015-01-04 08:30:00,Sunday,8.0,Shift_1,Station_7,19.419045,-99.128963,M-205 (Mechanical),38.0
10025.0,2015-01-04 22:37:00,Sunday,22.0,Shift_3,Station_16,19.374813,-99.096954,E-401 (Electrical),28.0
10026.0,2015-01-04 15:29:00,Sunday,15.0,Shift_2,Station_10,19.404107,-99.118717,E-401 (Electrical),33.0
10027.0,2015-01-04 21:21:00,Sunday,21.0,Shift_3,Station_11,19.399288,-99.115127,S-101 (Signaling),25.0
10028.0,2015-01-05 11:36:00,Monday,11.0,Shift_1,Station_11,19.400511,-99.115321,E-401 (Electrical),39.0
10029.0,2015-01-05 11:18:00,Monday,11.0,Shift_1,Station_16,19.374411,-99.097505,M-205 (Mechanical),43.0
10030.0,2015-01-06 17:04:00,Tuesday,17.0,Shift_2,Station_2,19.444261,-99.146857,H-300 (Hydraulic),42.0
10031.0,2015-01-06 14:32:00,Tuesday,14.0,Shift_2,Station_11,19.400544,-99.115842,M-205 (Mechanical),30.0
10032.0,2015-01-06 22:21:00,Tuesday,22.0,Shift_3,Station_15,19.379598,-99.101326,E-401 (Electrical),30.0
10033.0,2015-01-07 23:58:00,Wednesday,23.0,Shift_3,Station_1,19.449466,-99.150971,H-300 (Hydraulic),36.0
10034.0,2015-01-07 11:53:00,Wednesday,11.0,Shift_1,Station_20,19.354057,-99.082903,S-101 (Signaling),35.0
10035.0,2015-01-07 08:54:00,Wednesday,8.0,Shift_1,Station_12,19.39493,-99.111975,E-401 (Electrical),32.0
10036.0,2015-01-07 12:46:00,Wednesday,12.0,Shift_2,Station_8,19.414085,-99.125026,M-205 (Mechanical),38.0
10037.0,2015-01-08 07:54:00,Thursday,7.0,Shift_1,Station_17,19.369607,-99.093257,E-401 (Electrical),44.0
10038.0,2015-01-08 08:18:00,Thursday,8.0,Shift_1,Station_7,19.419777,-99.128004,E-401 (Electrical),42.0
10039.0,2015-01-08 14:20:00,Thursday,14.0,Shift_2,Station_18,19.364255,-99.089894,M-205 (Mechanical),41.0
,2015-01-09 00:00:00,Friday,,NO_INCIDENT,No Incident Day,,,NO_INCIDENT,
,2015-01-10 00:00:00,Saturday,,NO_INCIDENT,No Incident Day,,,NO_INCIDENT,
10040.0,2015-01-11 06:45:00,Sunday,6.0,Shift_1,Station_12,19.394701,-99.111893,M-205 (Mechanical),30.0
10041.0,2015-01-11 20:38:00,Sunday,20.0,Shift_3,Station_12,19.395453,-99.111139,S-101 (Signaling),38.0
10042.0,2015-01-11 10:28:00,Sunday,10.0,Shift_1,Station_20,19.354184,-99.084142,E-401 (Electrical),40.0
,2015-01-12 00:00:00,Monday,,NO_INCIDENT,No Incident Day,,,NO_INCIDENT,
10043.0,2015-01-13 18:39:00,Tuesday,18.0,Shift_3,Station_12,19.39429,-99.110727,E-401 (Electrical),30.0
10044.0,2015-01-13 09:49:00,Tuesday,9.0,Shift_1,Station_5,19.430698,-99.136272,M-205 (Mechanical),44.0
10045.0,2015-01-13 19:36:00,Tuesday,19.0,Shift_3,Station_2,19.445386,-99.146836,E-401 (Electrical),26.0
10046.0,2015-01-13 19:39:00,Tuesday,19.0,Shift_3,Station_21,19.350254,-99.080863,M-205 (Mechanical),40.0
10047.0,2015-01-13 08:32:00,Tuesday,8.0,Shift_1,Station_3,19.440145,-99.142918,E-401 (Electrical),44.0
10048.0,2015-01-13 14:54:00,Tuesday,14.0,Shift_2,Station_6,19.425452,-99.131792,E-401 (Electrical),30.0
10049.0,2015-01-13 12:40:00,Tuesday,12.0,Shift_2,Station_6,19.42451,-99.132885,E-401 (Electrical),37.0
10050.0,2015-01-13 10:35:00,Tuesday,10.0,Shift_1,Station_11,19.399708,-99.115628,H-300 (Hydraulic),32.0
10051.0,2015-01-14 20:54:00,Wednesday,20.0,Shift_3,Station_14,19.384261,-99.103876,E-401 (Electrical),41.0
10052.0,2015-01-14 19:15:00,Wednesday,19.0,Shift_3,Station_16,19.374149,-99.097922,M-205 (Mechanical),26.0
10053.0,2015-01-14 15:42:00,Wednesday,15.0,Shift_2,Station_12,19.395345,-99.110542,H-300 (Hydraulic),25.0
10054.0,2015-01-14 14:54:00,Wednesday,14.0,Shift_2,Station_4,19.435477,-99.139627,E-401 (Electrical),34.0
10055.0,2015-01-15 10:55:00,Thursday,10.0,Shift_1,Station_2,19.445539,-99.146685,M-205 (Mechanical),25.0
10056.0,2015-01-15 22:34:00,Thursday,22.0,Shift_3,Station_19,19.360906,-99.087914,S-101 (Signaling),38.0
10057.0,2015-01-15 19:43:00,Thursday,19.0,Shift_3,Station_9,19.410861,-99.122703,E-401 (Electrical),45.0
10058.0,2015-01-15 08:03:00,Thursday,8.0,Shift_1,Station_5,19.430456,-99.135103,S-101 (Signaling),25.0
10059.0,2015-01-16 17:32:00,Friday,17.0,Shift_2,Station_3,19.440865,-99.14336,S-101 (Signaling),29.0
10060.0,2015-01-16 16:55:00,Friday,16.0,Shift_2,Station_4,19.434896,-99.139693,E-401 (Electrical),45.0
10061.0,2015-01-16 18:38:00,Friday,18.0,Shift_3,Station_9,19.410544,-99.122886,S-101 (Signaling),28.0
10062.0,2015-01-16 08:33:00,Friday,8.0,Shift_1,Station_2,19.445393,-99.146681,H-300 (Hydraulic),29.0
10063.0,2015-01-16 23:12:00,Friday,23.0,Shift_3,Station_13,19.390804,-99.108251,H-300 (Hydraulic),44.0
10064.0,2015-01-16 16:25:00,Friday,16.0,Shift_2,Station_5,19.429772,-99.135007,M-205 (Mechanical),30.0
10065.0,2015-01-16 10:11:00,Friday,10.0,Shift_1,Station_12,19.394541,-99.110802,M-205 (Mechanical),41.0
10066.0,2015-01-16 09:17:00,Friday,9.0,Shift_1,Station_8,19.414826,-99.124527,H-300 (Hydraulic),39.0
10067.0,2015-01-16 10:16:00,Friday,10.0,Shift_1,Station_1,19.450523,-99.149645,M-205 (Mechanical),37.0
10068.0,2015-01-16 15:50:00,Friday,15.0,Shift_2,Station_1,19.449597,-99.150796,S-101 (Signaling),28.0
,2015-01-17 00:00:00,Saturday,,NO_INCIDENT,No Incident Day,,,NO_INCIDENT,
10069.0,2015-01-18 11:58:00,Sunday,11.0,Shift_1,Station_18,19.364111,-99.090958,H-300 (Hydraulic),26.0
10070.0,2015-01-18 23:47:00,Sunday,23.0,Shift_3,Station_20,19.354278,-99.084141,M-205 (Mechanical),29.0
10071.0,2015-01-18 15:56:00,Sunday,15.0,Shift_2,Station_1,19.4502,-99.150304,S-101 (Signaling),45.0
10072.0,2015-01-18 12:35:00,Sunday,12.0,Shift_2,Station_3,19.439783,-99.142439,M-205 (Mechanical),26.0
10073.0,2015-01-18 21:02:00,Sunday,21.0,Shift_3,Station_7,19.419383,-99.128692,E-401 (Electrical),28.0
10074.0,2015-01-18 13:28:00,Sunday,13.0,Shift_2,Station_9,19.409739,-99.122305,E-401 (Electrical),29.0
10075.0,2015-01-19 10:34:00,Monday,10.0,Shift_1,Station_5,19.430614,-99.136468,E-401 (Electrical),39.0
10076.0,2015-01-19 18:24:00,Monday,18.0,Shift_3,Station_8,19.415115,-99.12499,E-401 (Electrical),39.0
